question,sql,expected,actual,match,error
가장 많은 배우가 출연한 영화의 제목은?,SELECT f.title FROM film f JOIN film_actor fa ON f.film_id = fa.film_id GROUP BY f.title ORDER BY COUNT(fa.actor_id) DESC LIMIT 1;,Lambs Cincinatti,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
영화의 평균 대여료는 얼마인가요?,"SELECT ROUND(AVG(rental_rate), 2) FROM film;",2.98,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
영화의 최대 대여료는 얼마인가요?,SELECT MAX(rental_rate) FROM film;,4.99,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
영화의 최소 대여료는 얼마인가요?,SELECT MIN(rental_rate) FROM film;,0.99,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
‘Comedy’ 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Comedy';,58,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
영화가 가장 많은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) DESC LIMIT 1;,Sports,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
대여 횟수가 가장 많은 고객의 이름은?,SELECT first_name || ' ' || last_name FROM customer ORDER BY (SELECT COUNT(*) FROM rental r WHERE r.customer_id = customer.customer_id) DESC LIMIT 1;,ELEANOR HUNT,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
스태프는 몇 명인가요?,SELECT COUNT(*) FROM staff;,2,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
스토어는 몇 개 있나요?,SELECT COUNT(*) FROM store;,2,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
‘Action’ 카테고리 영화들의 평균 길이는 얼마인가요?,"SELECT ROUND(AVG(f.length), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Action';",111.61,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
평균보다 긴 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,507,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
가장 많이 대여된 영화의 제목은?,SELECT f.title FROM film f JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY f.title ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Bucket Brotherhood,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
가장 많이 대여된 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY c.name ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Sports,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
가장 많이 대여한 고객의 총 대여 횟수는?,SELECT COUNT(*) FROM rental r WHERE r.customer_id = (SELECT customer_id FROM rental GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1);,46,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
고객의 평균 결제 금액은 얼마인가요?,"SELECT ROUND(AVG(amount), 2) FROM payment;",4.2,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id ) AS customer_totals;;",134.69,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
결제가 가장 많이 일어난 시간대는?,"SELECT EXTRACT(HOUR FROM payment_date)::int AS hour_of_day, COUNT(*) AS payment_count FROM payment GROUP BY hour_of_day ORDER BY payment_count DESC LIMIT 1;",13,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
대여가 한 번도 이루어지지 않은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f WHERE NOT EXISTS (SELECT 1 FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE i.film_id = f.film_id);,42,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
평균 대여료가 가장 높은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.rental_rate) DESC LIMIT 1;,Games,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
평균 길이가 가장 짧은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) ASC LIMIT 1;,Sci-Fi,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
