question,category,difficulty,ground_truth_sql,generated_sql,exact_match,execution_match,valid_sql,error,generation_time,ground_truth_result,generated_result
고객 1인당 평균 생애 가치(LTV)는?,customer_analysis,중급,"SELECT ROUND(AVG(customer_ltv), 2) FROM (SELECT customer_id, SUM(amount) as customer_ltv FROM payment GROUP BY customer_id) sub;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여 이력이 없는 고객은 몇 명인가요?,customer_analysis,중급,SELECT COUNT(*) FROM customer c WHERE NOT EXISTS (SELECT 1 FROM rental r WHERE r.customer_id = c.customer_id);,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
"주말(토,일)에 대여한 고객 수는?",customer_analysis,중급,"SELECT COUNT(DISTINCT customer_id) FROM rental WHERE EXTRACT(DOW FROM rental_date) IN (0, 6);",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
평균적으로 고객들은 몇 일 만에 영화를 반납하나요?,customer_analysis,중급,"SELECT ROUND(AVG(EXTRACT(EPOCH FROM (return_date - rental_date))/86400), 2) as avg_days FROM rental WHERE return_date IS NOT NULL;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
활성 고객(active=1)은 몇 명인가요?,customer_analysis,초급,SELECT COUNT(*) FROM customer WHERE active = 1;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
재고가 5개 미만인 영화는 몇 편인가요?,inventory_operations,중급,SELECT COUNT(DISTINCT f.film_id) FROM film f JOIN inventory i ON f.film_id = i.film_id GROUP BY f.film_id HAVING COUNT(i.inventory_id) < 5;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
각 스토어별 재고 현황은?,inventory_operations,중급,"SELECT s.store_id, COUNT(DISTINCT i.film_id) as unique_films, COUNT(i.inventory_id) as total_inventory FROM store s JOIN inventory i ON s.store_id = i.store_id GROUP BY s.store_id;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
전체 재고(inventory) 수는?,inventory_operations,초급,SELECT COUNT(*) FROM inventory;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
반납되지 않은 대여 건수는 몇 건인가요?,inventory_operations,초급,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
스태프별 처리한 결제 건수는?,inventory_operations,중급,"SELECT s.first_name || ' ' || s.last_name as staff_name, COUNT(p.payment_id) as payment_count, ROUND(SUM(p.amount), 2) as total_amount FROM staff s JOIN payment p ON s.staff_id = p.staff_id GROUP BY s.staff_id, s.first_name, s.last_name;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
주소(address) 테이블에 등록된 주소는 몇 개인가요?,inventory_operations,초급,SELECT COUNT(*) FROM address;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
오늘 발생한 결제 건수는?,inventory_operations,초급,SELECT COUNT(*) FROM payment WHERE DATE(payment_date) = CURRENT_DATE;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여 기간(rental_duration)이 7일 이상인 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE rental_duration >= 7;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
'R' 등급 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE rating = 'R';,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
카테고리는 총 몇 개인가요?,content_performance,초급,SELECT COUNT(*) FROM category;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
영화 제목에 'LOVE'가 포함된 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE title LIKE '%LOVE%';,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
출연 영화가 가장 많은 배우의 이름은?,content_performance,중급,"SELECT a.first_name || ' ' || a.last_name as actor_name FROM actor a JOIN film_actor fa ON a.actor_id = fa.actor_id GROUP BY a.actor_id, a.first_name, a.last_name ORDER BY COUNT(fa.film_id) DESC LIMIT 1;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
'Horror' 카테고리에 속한 영화의 평균 대여료는?,content_performance,중급,"SELECT ROUND(AVG(f.rental_rate), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Horror';",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
출연 영화가 10편 이상인 배우는 몇 명인가요?,content_performance,중급,SELECT COUNT(*) FROM actor a WHERE (SELECT COUNT(*) FROM film_actor fa WHERE fa.actor_id = a.actor_id) >= 10;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
영화 길이가 120분 이상인 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE length >= 120;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
'United States'에 있는 도시는 몇 개인가요?,geographic_analysis,중급,SELECT COUNT(*) FROM city ci JOIN country co ON ci.country_id = co.country_id WHERE co.country = 'United States';,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
고객이 없는 도시는 몇 개인가요?,geographic_analysis,중급,SELECT COUNT(*) FROM city ci WHERE NOT EXISTS (SELECT 1 FROM address a JOIN customer c ON a.address_id = c.address_id WHERE a.city_id = ci.city_id);,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
가장 많은 고객이 있는 도시는?,geographic_analysis,중급,SELECT ci.city FROM city ci JOIN address a ON ci.city_id = a.city_id JOIN customer c ON a.address_id = c.address_id GROUP BY ci.city ORDER BY COUNT(c.customer_id) DESC LIMIT 1;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
국가별 고객 수를 내림차순으로 상위 5개 국가는?,geographic_analysis,중급,"SELECT co.country, COUNT(c.customer_id) as customer_count FROM country co JOIN city ci ON co.country_id = ci.country_id JOIN address a ON ci.city_id = a.city_id JOIN customer c ON a.address_id = c.address_id GROUP BY co.country ORDER BY customer_count DESC LIMIT 5;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
요일별 평균 대여 횟수는?,trends_forecasting,중급,"SELECT EXTRACT(DOW FROM rental_date) as day_of_week, COUNT(*) as rental_count FROM rental GROUP BY day_of_week ORDER BY day_of_week;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
시간대별 대여 횟수는?,trends_forecasting,중급,"SELECT EXTRACT(HOUR FROM rental_date) as hour, COUNT(*) as rental_count FROM rental GROUP BY hour ORDER BY hour;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여 횟수가 5회 이상인 고객은 몇 명인가요?,trends_forecasting,중급,SELECT COUNT(*) FROM (SELECT customer_id FROM rental GROUP BY customer_id HAVING COUNT(*) >= 5) sub;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여료가 0.99달러인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE rental_rate = 0.99;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여료가 2.99달러 이상인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE rental_rate >= 2.99;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
교체 비용(replacement_cost)이 20달러 이상인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE replacement_cost >= 20;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
평균보다 비싼 영화는 몇 편인가요?,pricing_strategy,중급,SELECT COUNT(*) FROM film WHERE rental_rate > (SELECT AVG(rental_rate) FROM film);,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
'Drama' 카테고리 영화는 몇 편인가요?,marketing_promotion,중급,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Drama';,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
영화가 가장 적은 카테고리는?,marketing_promotion,중급,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) ASC LIMIT 1;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
특수 기능(special_features)에 'Deleted Scenes'가 포함된 영화는 몇 편인가요?,marketing_promotion,중급,SELECT COUNT(*) FROM film WHERE 'Deleted Scenes' = ANY(special_features);,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
같은 날 10회 이상 대여한 고객은?,anomaly_detection,중급,"SELECT customer_id, DATE(rental_date) as date, COUNT(*) as rental_count FROM rental GROUP BY customer_id, DATE(rental_date) HAVING COUNT(*) >= 10;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
연체 중인 대여 건수는?,anomaly_detection,초급,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
전체 결제 건수는?,executive_dashboard,초급,SELECT COUNT(*) FROM payment;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
대여 기록이 있는 고객은 몇 명인가요?,executive_dashboard,초급,SELECT COUNT(DISTINCT customer_id) FROM rental;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
재고가 있는 영화는 몇 편인가요?,executive_dashboard,초급,SELECT COUNT(DISTINCT film_id) FROM inventory;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
평균보다 긴 영화는 몇 편인가요?,executive_dashboard,중급,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,executive_dashboard,고급,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id) AS customer_totals;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
