question,category,difficulty,ground_truth_sql,generated_sql,expected,actual,match,generation_time,error
고객 1인당 평균 생애 가치(LTV)는?,customer_analysis,중급,"SELECT ROUND(AVG(customer_ltv), 2) FROM (SELECT customer_id, SUM(amount) as customer_ltv FROM payment GROUP BY customer_id) sub;","SELECT AVG(p.amount) AS average_lifetime_value
FROM payment p
JOIN rental r ON p.rental_id = r.rental_id
JOIN inventory i ON r.inventory_id = i.inventory_id
JOIN film f ON i.film_id = f.film_id
JOIN film_actor fa ON f.film_id = fa.film_id
JOIN actor a ON fa.actor_id = a.actor_id
GROUP BY a.actor_id;",102.36,4.7201785714285714,False,3.2158396244049072,
대여 이력이 없는 고객은 몇 명인가요?,customer_analysis,중급,SELECT COUNT(*) FROM customer c WHERE NOT EXISTS (SELECT 1 FROM rental r WHERE r.customer_id = c.customer_id);,"SELECT COUNT(*) 
FROM customer 
WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM rental);",0,0,True,1.6192002296447754,
"주말(토,일)에 대여한 고객 수는?",customer_analysis,중급,"SELECT COUNT(DISTINCT customer_id) FROM rental WHERE EXTRACT(DOW FROM rental_date) IN (0, 6);","SELECT COUNT(DISTINCT rental.customer_id) AS weekend_rentals
FROM rental
WHERE EXTRACT(DOW FROM rental.rental_date) IN (0, 6);",599,599,True,1.808523416519165,
평균적으로 고객들은 몇 일 만에 영화를 반납하나요?,customer_analysis,중급,"SELECT ROUND(AVG(EXTRACT(EPOCH FROM (return_date - rental_date))/86400), 2) as avg_days FROM rental WHERE return_date IS NOT NULL;","SELECT AVG(DATE_PART('day', return_date - rental_date)) AS average_days_to_return
FROM rental;",5.03,4.525944139713763,False,1.2336456775665283,
활성 고객(active=1)은 몇 명인가요?,customer_analysis,초급,SELECT COUNT(*) FROM customer WHERE active = 1;,SELECT COUNT(*) FROM customer WHERE active = 1;,584,584,True,1.173563003540039,
재고가 5개 미만인 영화는 몇 편인가요?,inventory_operations,중급,SELECT COUNT(DISTINCT f.film_id) FROM film f JOIN inventory i ON f.film_id = i.film_id GROUP BY f.film_id HAVING COUNT(i.inventory_id) < 5;,"SELECT COUNT(*) 
FROM film 
WHERE film_id IN (
    SELECT film_id 
    FROM inventory 
    GROUP BY film_id 
    HAVING COUNT(*) < 5
);",1,447,False,1.523998737335205,
각 스토어별 재고 현황은?,inventory_operations,중급,"SELECT s.store_id, COUNT(DISTINCT i.film_id) as unique_films, COUNT(i.inventory_id) as total_inventory FROM store s JOIN inventory i ON s.store_id = i.store_id GROUP BY s.store_id;","SELECT s.store_id, COUNT(i.inventory_id) AS stock_count
FROM store s
JOIN inventory i ON s.store_id = i.store_id
GROUP BY s.store_id;",1,1,True,1.8905744552612305,
전체 재고(inventory) 수는?,inventory_operations,초급,SELECT COUNT(*) FROM inventory;,SELECT COUNT(*) FROM inventory;,4581,4581,True,0.7719807624816895,
반납되지 않은 대여 건수는 몇 건인가요?,inventory_operations,초급,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,"SELECT COUNT(*) 
FROM rental 
WHERE return_date IS NULL;",183,183,True,0.9794154167175293,
스태프별 처리한 결제 건수는?,inventory_operations,중급,"SELECT s.first_name || ' ' || s.last_name as staff_name, COUNT(p.payment_id) as payment_count, ROUND(SUM(p.amount), 2) as total_amount FROM staff s JOIN payment p ON s.staff_id = p.staff_id GROUP BY s.staff_id, s.first_name, s.last_name;","SELECT s.staff_id, COUNT(p.payment_id) AS payment_count
FROM staff s
LEFT JOIN store st ON s.store_id = st.store_id
LEFT JOIN payment p ON st.store_id = p.store_id
GROUP BY s.staff_id;",Mike Hillyer,,False,2.0682342052459717,"(psycopg2.errors.UndefinedColumn) column p.store_id does not exist
LINE 4: LEFT JOIN payment p ON st.store_id = p.store_id
                                             ^
HINT:  Perhaps you meant to reference the column ""s.store_id"".

[SQL: SELECT s.staff_id, COUNT(p.payment_id) AS payment_count
FROM staff s
LEFT JOIN store st ON s.store_id = st.store_id
LEFT JOIN payment p ON st.store_id = p.store_id
GROUP BY s.staff_id;]
(Background on this error at: https://sqlalche.me/e/20/f405)"
주소(address) 테이블에 등록된 주소는 몇 개인가요?,inventory_operations,초급,SELECT COUNT(*) FROM address;,SELECT COUNT(*) FROM store;,603,2,False,1.0172083377838135,
오늘 발생한 결제 건수는?,inventory_operations,초급,SELECT COUNT(*) FROM payment WHERE DATE(payment_date) = CURRENT_DATE;,SELECT COUNT(*) FROM payment WHERE DATE(payment_date) = CURRENT_DATE;,0,0,True,1.1430346965789795,
대여 기간(rental_duration)이 7일 이상인 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE rental_duration >= 7;,"SELECT COUNT(*) 
FROM film 
WHERE rental_duration >= 7;",191,191,True,1.336167812347412,
'R' 등급 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE rating = 'R';,SELECT COUNT(*) FROM film WHERE rating = 'R';,195,195,True,1.6068933010101318,
카테고리는 총 몇 개인가요?,content_performance,초급,SELECT COUNT(*) FROM category;,SELECT COUNT(*) FROM category;,16,16,True,0.9546830654144287,
영화 제목에 'LOVE'가 포함된 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE title LIKE '%LOVE%';,"SELECT COUNT(*) 
FROM film 
WHERE title ILIKE '%LOVE%';",0,10,False,1.0796887874603271,
출연 영화가 가장 많은 배우의 이름은?,content_performance,중급,"SELECT a.first_name || ' ' || a.last_name as actor_name FROM actor a JOIN film_actor fa ON a.actor_id = fa.actor_id GROUP BY a.actor_id, a.first_name, a.last_name ORDER BY COUNT(fa.film_id) DESC LIMIT 1;","SELECT CONCAT(a.first_name, ' ', a.last_name) AS actor_name
FROM actor a
JOIN film_actor fa ON a.actor_id = fa.actor_id
GROUP BY a.actor_id
ORDER BY COUNT(fa.film_id) DESC
LIMIT 1;",Gina Degeneres,Gina Degeneres,True,1.6287925243377686,
'Horror' 카테고리에 속한 영화의 평균 대여료는?,content_performance,중급,"SELECT ROUND(AVG(f.rental_rate), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Horror';","SELECT AVG(f.rental_rate) AS average_rental_rate
FROM film f
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
WHERE c.name = 'Horror';",3.03,3.0257142857142857,False,2.24084734916687,
출연 영화가 10편 이상인 배우는 몇 명인가요?,content_performance,중급,SELECT COUNT(*) FROM actor a WHERE (SELECT COUNT(*) FROM film_actor fa WHERE fa.actor_id = a.actor_id) >= 10;,"SELECT COUNT(DISTINCT a.actor_id) 
FROM actor a 
JOIN film_actor fa ON a.actor_id = fa.actor_id 
GROUP BY a.actor_id 
HAVING COUNT(fa.film_id) >= 10;",200,1,False,1.6773664951324463,
영화 길이가 120분 이상인 영화는 몇 편인가요?,content_performance,초급,SELECT COUNT(*) FROM film WHERE length >= 120;,"SELECT COUNT(*) 
FROM film 
WHERE length >= 120;",466,466,True,1.2240245342254639,
'United States'에 있는 도시는 몇 개인가요?,geographic_analysis,중급,SELECT COUNT(*) FROM city ci JOIN country co ON ci.country_id = co.country_id WHERE co.country = 'United States';,"SELECT COUNT(DISTINCT city) 
FROM store 
WHERE address_id IN (SELECT address_id FROM address WHERE city IN (SELECT city FROM address WHERE country_id = (SELECT country_id FROM country WHERE country = 'United States')));",35,,False,1.7989351749420166,"(psycopg2.errors.UndefinedColumn) column ""city"" does not exist
LINE 1: SELECT COUNT(DISTINCT city) 
                              ^

[SQL: SELECT COUNT(DISTINCT city) 
FROM store 
WHERE address_id IN (SELECT address_id FROM address WHERE city IN (SELECT city FROM address WHERE country_id = (SELECT country_id FROM country WHERE country = 'United States')));]
(Background on this error at: https://sqlalche.me/e/20/f405)"
고객이 없는 도시는 몇 개인가요?,geographic_analysis,중급,SELECT COUNT(*) FROM city ci WHERE NOT EXISTS (SELECT 1 FROM address a JOIN customer c ON a.address_id = c.address_id WHERE a.city_id = ci.city_id);,"SELECT COUNT(*) 
FROM store 
WHERE store_id NOT IN (SELECT DISTINCT store_id FROM inventory WHERE inventory_id IN (SELECT inventory_id FROM rental));",3,0,False,1.3534877300262451,
가장 많은 고객이 있는 도시는?,geographic_analysis,중급,SELECT ci.city FROM city ci JOIN address a ON ci.city_id = a.city_id JOIN customer c ON a.address_id = c.address_id GROUP BY ci.city ORDER BY COUNT(c.customer_id) DESC LIMIT 1;,"SELECT store.address AS city, COUNT(DISTINCT rental.customer_id) AS customer_count
FROM store
JOIN inventory ON store.store_id = inventory.store_id
JOIN rental ON inventory.inventory_id = rental.inventory_id
GROUP BY store.address
ORDER BY customer_count DESC
LIMIT 1;",London,,False,2.3293297290802,"(psycopg2.errors.UndefinedColumn) column store.address does not exist
LINE 1: SELECT store.address AS city, COUNT(DISTINCT rental.customer...
               ^
HINT:  Perhaps you meant to reference the column ""store.address_id"".

[SQL: SELECT store.address AS city, COUNT(DISTINCT rental.customer_id) AS customer_count
FROM store
JOIN inventory ON store.store_id = inventory.store_id
JOIN rental ON inventory.inventory_id = rental.inventory_id
GROUP BY store.address
ORDER BY customer_count DESC
LIMIT 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)"
국가별 고객 수를 내림차순으로 상위 5개 국가는?,geographic_analysis,중급,"SELECT co.country, COUNT(c.customer_id) as customer_count FROM country co JOIN city ci ON co.country_id = ci.country_id JOIN address a ON ci.city_id = a.city_id JOIN customer c ON a.address_id = c.address_id GROUP BY co.country ORDER BY customer_count DESC LIMIT 5;","SELECT country, COUNT(customer_id) AS customer_count
FROM customer
GROUP BY country
ORDER BY customer_count DESC
LIMIT 5;",India,,False,1.38600754737854,"(psycopg2.errors.UndefinedColumn) column ""country"" does not exist
LINE 1: SELECT country, COUNT(customer_id) AS customer_count
               ^

[SQL: SELECT country, COUNT(customer_id) AS customer_count
FROM customer
GROUP BY country
ORDER BY customer_count DESC
LIMIT 5;]
(Background on this error at: https://sqlalche.me/e/20/f405)"
요일별 평균 대여 횟수는?,trends_forecasting,중급,"SELECT EXTRACT(DOW FROM rental_date) as day_of_week, COUNT(*) as rental_count FROM rental GROUP BY day_of_week ORDER BY day_of_week;","SELECT EXTRACT(DOW FROM r.rental_date) AS day_of_week, AVG(rental_count) AS average_rentals
FROM (
    SELECT rental_date, COUNT(*) AS rental_count
    FROM rental
    GROUP BY rental_date
) AS r
GROUP BY day_of_week
ORDER BY day_of_week;",0,0,True,1.890014886856079,
시간대별 대여 횟수는?,trends_forecasting,중급,"SELECT EXTRACT(HOUR FROM rental_date) as hour, COUNT(*) as rental_count FROM rental GROUP BY hour ORDER BY hour;","SELECT EXTRACT(HOUR FROM rental_date) AS rental_hour, COUNT(*) AS rental_count
FROM rental
GROUP BY rental_hour
ORDER BY rental_hour;",0,0,True,1.3433468341827393,
대여 횟수가 5회 이상인 고객은 몇 명인가요?,trends_forecasting,중급,SELECT COUNT(*) FROM (SELECT customer_id FROM rental GROUP BY customer_id HAVING COUNT(*) >= 5) sub;,"SELECT COUNT(DISTINCT rental.customer_id) 
FROM rental 
GROUP BY rental.customer_id 
HAVING COUNT(rental.rental_id) >= 5;",599,1,False,1.5409538745880127,
대여료가 0.99달러인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE rental_rate = 0.99;,"SELECT COUNT(*) 
FROM film 
WHERE rental_rate = 0.99;",341,341,True,1.1410338878631592,
대여료가 2.99달러 이상인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE rental_rate >= 2.99;,"SELECT COUNT(*) 
FROM film 
WHERE rental_rate > 2.99;",659,336,False,1.1153264045715332,
교체 비용(replacement_cost)이 20달러 이상인 영화는 몇 편인가요?,pricing_strategy,초급,SELECT COUNT(*) FROM film WHERE replacement_cost >= 20;,"SELECT COUNT(*) 
FROM film 
WHERE replacement_cost >= 20;",486,486,True,1.1299631595611572,
평균보다 비싼 영화는 몇 편인가요?,pricing_strategy,중급,SELECT COUNT(*) FROM film WHERE rental_rate > (SELECT AVG(rental_rate) FROM film);,"SELECT COUNT(*) 
FROM film 
WHERE rental_rate > (SELECT AVG(rental_rate) FROM film);",659,659,True,1.4849371910095215,
'Drama' 카테고리 영화는 몇 편인가요?,marketing_promotion,중급,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Drama';,"SELECT COUNT(*) 
FROM film f 
JOIN film_category fc ON f.film_id = fc.film_id 
JOIN category c ON fc.category_id = c.category_id 
WHERE c.name = 'Drama';",62,62,True,1.636465311050415,
영화가 가장 적은 카테고리는?,marketing_promotion,중급,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) ASC LIMIT 1;,"SELECT c.name 
FROM category c 
JOIN film_category fc ON c.category_id = fc.category_id 
JOIN film f ON fc.film_id = f.film_id 
GROUP BY c.category_id 
ORDER BY COUNT(f.film_id) ASC 
LIMIT 1;",Music,Music,True,2.2282159328460693,
특수 기능(special_features)에 'Deleted Scenes'가 포함된 영화는 몇 편인가요?,marketing_promotion,중급,SELECT COUNT(*) FROM film WHERE 'Deleted Scenes' = ANY(special_features);,"SELECT COUNT(*) 
FROM film 
WHERE special_features LIKE '%Deleted Scenes%';",503,,False,1.1174767017364502,"(psycopg2.errors.UndefinedFunction) operator does not exist: text[] ~~ unknown
LINE 3: WHERE special_features LIKE '%Deleted Scenes%';
                               ^
HINT:  No operator matches the given name and argument types. You might need to add explicit type casts.

[SQL: SELECT COUNT(*) 
FROM film 
WHERE special_features LIKE '%%Deleted Scenes%%';]
(Background on this error at: https://sqlalche.me/e/20/f405)"
같은 날 10회 이상 대여한 고객은?,anomaly_detection,중급,"SELECT customer_id, DATE(rental_date) as date, COUNT(*) as rental_count FROM rental GROUP BY customer_id, DATE(rental_date) HAVING COUNT(*) >= 10;","SELECT customer_id
FROM rental
GROUP BY customer_id, rental_date
HAVING COUNT(*) >= 10;",,,True,2.7224817276000977,
연체 중인 대여 건수는?,anomaly_detection,초급,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,183,183,True,0.9994258880615234,
전체 결제 건수는?,executive_dashboard,초급,SELECT COUNT(*) FROM payment;,SELECT COUNT(*) FROM payment;,14596,14596,True,0.8794238567352295,
대여 기록이 있는 고객은 몇 명인가요?,executive_dashboard,초급,SELECT COUNT(DISTINCT customer_id) FROM rental;,"SELECT COUNT(DISTINCT rental.customer_id) AS customer_count
FROM rental;",599,599,True,2.0368826389312744,
재고가 있는 영화는 몇 편인가요?,executive_dashboard,초급,SELECT COUNT(DISTINCT film_id) FROM inventory;,"SELECT COUNT(*) 
FROM inventory 
WHERE inventory.film_id IN (SELECT film.id FROM film WHERE film.id IS NOT NULL);",958,,False,1.2841691970825195,"(psycopg2.errors.UndefinedColumn) column film.id does not exist
LINE 3: WHERE inventory.film_id IN (SELECT film.id FROM film WHERE f...
                                           ^

[SQL: SELECT COUNT(*) 
FROM inventory 
WHERE inventory.film_id IN (SELECT film.id FROM film WHERE film.id IS NOT NULL);]
(Background on this error at: https://sqlalche.me/e/20/f405)"
평균보다 긴 영화는 몇 편인가요?,executive_dashboard,중급,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,"SELECT COUNT(*) 
FROM film 
WHERE length > (SELECT AVG(length) FROM film);",489,489,True,2.417465925216675,
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,executive_dashboard,고급,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id) AS customer_totals;","SELECT DISTINCT p.amount
FROM payment p
ORDER BY p.amount DESC
LIMIT 1 OFFSET (SELECT COUNT(DISTINCT customer_id) * 0.1 FROM payment);",134.69,,False,3.4796183109283447,
