question,sql,expected,actual,match,exact_match,error
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200,200,True,True,
가장 많이 대여된 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY c.name ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Sports,Sports,True,True,
Store 1의 평균 재고 수는?,"SELECT ROUND(COUNT(*)::numeric / COUNT(DISTINCT film_id), 2) FROM inventory WHERE store_id = 1;",2.4,2.99,False,False,"Expected 2.4, got 2.99"
고객의 평균 결제 금액은 얼마인가요?,"SELECT ROUND(AVG(amount), 2) FROM payment;",4.2,4.20,False,False,"Expected 4.2, got 4.20"
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,"SELECT ROUND(percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount), 2) FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id) AS customer_totals;",134.69,134.69,True,True,
결제가 가장 많이 일어난 시간대는?,SELECT EXTRACT(HOUR FROM payment_date)::int FROM payment GROUP BY EXTRACT(HOUR FROM payment_date) ORDER BY COUNT(*) DESC LIMIT 1;,13,13,True,True,
일별 평균 매출은?,"SELECT ROUND(AVG(daily_revenue), 2) FROM (SELECT DATE(payment_date) as date, SUM(amount) as daily_revenue FROM payment GROUP BY DATE(payment_date)) sub;",4200.82,1916.00,False,False,"Expected 4200.82, got 1916.00"
가장 매출이 높았던 날의 매출액은?,"SELECT ROUND(MAX(daily_revenue), 2) FROM (SELECT DATE(payment_date) as date, SUM(amount) as daily_revenue FROM payment GROUP BY DATE(payment_date)) sub;",6056.09,5723.89,False,False,"Expected 6056.09, got 5723.89"
결제 금액의 표준편차는?,"SELECT ROUND(STDDEV(amount)::numeric, 2) FROM payment;",1.91,2.37,False,False,"Expected 1.91, got 2.37"
스태프 1이 처리한 총 매출은?,"SELECT ROUND(SUM(amount), 2) FROM payment WHERE staff_id = 1;",33927.04,30252.12,False,False,"Expected 33927.04, got 30252.12"
스태프 2가 처리한 총 매출은?,"SELECT ROUND(SUM(amount), 2) FROM payment WHERE staff_id = 2;",27385.0,31059.92,False,False,"Expected 27385.0, got 31059.92"
가장 비싼 단일 결제 금액은?,SELECT MAX(amount) FROM payment;,11.99,11.99,True,True,
가장 저렴한 단일 결제 금액은?,SELECT MIN(amount) FROM payment;,0.0,0.00,False,False,"Expected 0.0, got 0.00"
0.99달러 결제 건수는?,SELECT COUNT(*) FROM payment WHERE amount = 0.99;,580,2720,False,False,"Expected 580, got 2720"
4.99달러 이상 결제 건수는?,SELECT COUNT(*) FROM payment WHERE amount >= 4.99;,5638,7042,False,False,"Expected 5638, got 7042"
고객당 평균 총 결제액은?,"SELECT ROUND(AVG(total), 2) FROM (SELECT customer_id, SUM(amount) as total FROM payment GROUP BY customer_id) sub;",102.37,102.36,False,False,"Expected 102.37, got 102.36"
2월에 발생한 매출은?,"SELECT ROUND(SUM(amount), 2) FROM payment WHERE EXTRACT(MONTH FROM payment_date) = 2;",9631.88,8351.84,False,False,"Expected 9631.88, got 8351.84"
7월에 발생한 매출은?,"SELECT ROUND(SUM(amount), 2) FROM payment WHERE EXTRACT(MONTH FROM payment_date) = 7;",28373.89,,False,False,"Expected 28373.89, got None"
출연 영화가 가장 많은 배우의 출연 영화 수는?,SELECT COUNT(*) FROM film_actor WHERE actor_id = (SELECT actor_id FROM film_actor GROUP BY actor_id ORDER BY COUNT(*) DESC LIMIT 1);,42,42,True,True,
배우당 평균 출연 영화 수는?,"SELECT ROUND(COUNT(*)::numeric / COUNT(DISTINCT actor_id), 2) FROM film_actor;",27.34,27.31,False,False,"Expected 27.34, got 27.31"
'Action' 카테고리에 출연한 배우는 몇 명인가요?,SELECT COUNT(DISTINCT fa.actor_id) FROM film_actor fa JOIN film_category fc ON fa.film_id = fc.film_id JOIN category c ON fc.category_id = c.category_id WHERE c.name = 'Action';,180,166,False,False,"Expected 180, got 166"
가장 다양한 카테고리에 출연한 배우의 카테고리 수는?,SELECT COUNT(DISTINCT fc.category_id) FROM film_actor fa JOIN film_category fc ON fa.film_id = fc.film_id WHERE fa.actor_id = (SELECT fa2.actor_id FROM film_actor fa2 JOIN film_category fc2 ON fa2.film_id = fc2.film_id GROUP BY fa2.actor_id ORDER BY COUNT(DISTINCT fc2.category_id) DESC LIMIT 1);,16,16,True,True,
'R' 등급 영화에만 출연한 배우는 몇 명인가요?,SELECT COUNT(DISTINCT fa.actor_id) FROM film_actor fa JOIN film f ON fa.film_id = f.film_id WHERE f.rating = 'R' AND fa.actor_id NOT IN (SELECT fa2.actor_id FROM film_actor fa2 JOIN film f2 ON fa2.film_id = f2.film_id WHERE f2.rating != 'R');,0,0,True,True,
가장 긴 영화에 출연한 배우 수는?,SELECT COUNT(*) FROM film_actor WHERE film_id = (SELECT film_id FROM film ORDER BY length DESC LIMIT 1);,10,8,False,False,"Expected 10, got 8"
가장 비싼 대여료 영화에 출연한 배우 수는?,SELECT COUNT(*) FROM film_actor WHERE film_id IN (SELECT film_id FROM film WHERE rental_rate = (SELECT MAX(rental_rate) FROM film));,3360,1771,False,False,"Expected 3360, got 1771"
평균 이상의 영화에 출연한 배우는 몇 명인가요?,SELECT COUNT(DISTINCT actor_id) FROM film_actor WHERE actor_id IN (SELECT actor_id FROM film_actor GROUP BY actor_id HAVING COUNT(*) > (SELECT AVG(cnt) FROM (SELECT COUNT(*) as cnt FROM film_actor GROUP BY actor_id) sub));,109,94,False,False,"Expected 109, got 94"
단 1편의 영화에만 출연한 배우는 몇 명인가요?,SELECT COUNT(*) FROM (SELECT actor_id FROM film_actor GROUP BY actor_id HAVING COUNT(*) = 1) sub;,0,0,True,True,
가장 많이 대여된 영화에 출연한 배우 수는?,SELECT COUNT(*) FROM film_actor WHERE film_id = (SELECT i.film_id FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY i.film_id ORDER BY COUNT(*) DESC LIMIT 1);,12,6,False,False,"Expected 12, got 6"
2005년에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(YEAR FROM rental_date) = 2005;,15862,15862,True,True,
평일(월-금)에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(DOW FROM rental_date) BETWEEN 1 AND 5;,11475,11413,False,False,"Expected 11475, got 11413"
주말(토-일)에 발생한 대여 건수는?,"SELECT COUNT(*) FROM rental WHERE EXTRACT(DOW FROM rental_date) IN (0, 6);",4569,4631,False,False,"Expected 4569, got 4631"
가장 대여가 많았던 날의 대여 건수는?,SELECT COUNT(*) FROM rental WHERE DATE(rental_date) = (SELECT DATE(rental_date) FROM rental GROUP BY DATE(rental_date) ORDER BY COUNT(*) DESC LIMIT 1);,335,679,False,False,"Expected 335, got 679"
가장 대여가 적었던 날의 대여 건수는?,SELECT COUNT(*) FROM rental WHERE DATE(rental_date) = (SELECT DATE(rental_date) FROM rental GROUP BY DATE(rental_date) ORDER BY COUNT(*) ASC LIMIT 1);,1,8,False,False,"Expected 1, got 8"
오전(0-11시)에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(HOUR FROM rental_date) < 12;,2649,7984,False,False,"Expected 2649, got 7984"
오후(12-23시)에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(HOUR FROM rental_date) >= 12;,13395,8060,False,False,"Expected 13395, got 8060"
월요일에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(DOW FROM rental_date) = 1;,2298,2247,False,False,"Expected 2298, got 2247"
토요일에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(DOW FROM rental_date) = 6;,2328,2311,False,False,"Expected 2328, got 2311"
평균 영화 길이는?,"SELECT ROUND(AVG(length), 2) FROM film;",115.27,115.27,True,True,
